"timestamp","company","category","open","high","low","close","volume","previous","change.percent","result","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.change.percent","vix.result","confirmed.total","confirmed.previous","confirmed.change.percent","confirmed.result","deaths.total","deaths.previous","deaths.change.percent","deaths.result"
2020-06-15,"mcdonald","hospitality",184.6,190.1199,184.13,189.49,4498715,189.17,0.00885286118073701,"up",44.09,44.44,34.28,34.4,36.09,0.884775680313802,"down",8010360,7621346,0.0172156703628763,"up",437545,426445,0.0101741087291247,"up"
2020-06-16,"mcdonald","hospitality",192,193.5,187.51,190.32,5421137,189.49,0.00169160014801513,"up",34.28,37.45,31.73,33.67,34.4,0.953172623995566,"down",8149939,8010360,0.0510426898345778,"up",444334,437545,0.0260291479557739,"up"
2020-06-17,"mcdonald","hospitality",191.92,192.88,190.42,190.79,3152759,190.32,0.00438017837352886,"up",33.28,35.17,32.25,33.47,33.67,0.978779069767442,"down",8325831,8149939,0.0174248098712168,"up",449605,444334,0.0155161183421134,"up"
2020-06-18,"mcdonald","hospitality",190.01,190.74,187.89,189.49,3152684,190.79,0.00246952501050861,"down",33.83,36.25,32.24,32.94,33.47,0.994059994059994,"down",8464706,8325831,0.0215820020248004,"up",454614,449605,0.0118626978804233,"up"
2020-06-19,"mcdonald","hospitality",192.29,192.3565,186.53,186.56,6267477,189.49,-0.00681377430682941,"down",32.07,35.12,30.4,35.12,32.94,0.984164923812369,"up",8645640,8464706,0.0166800166854216,"up",460883,454614,0.0111408903370737,"up"
2020-06-22,"mcdonald","hospitality",186,187.77,184.89,187.46,3220707,186.56,-0.0154625573908914,"up",35.22,35.39,31.64,31.77,35.12,1.06618093503339,"down",9072666,8645640,0.0213751074166073,"up",472779,460883,0.0137897205101471,"up"
2020-06-23,"mcdonald","hospitality",189.55,189.73,186.32,186.62,2950934,187.46,0.00482418524871358,"down",31.71,31.71,29.26,31.37,31.77,0.904612756264237,"down",9238013,9072666,0.049392063514095,"up",478203,472779,0.025811323047281,"up"
2020-06-24,"mcdonald","hospitality",184.96,185.71,181.34,184.29,4144862,186.62,-0.00448095593726663,"down",31.05,37.12,30.95,33.84,31.37,0.987409505823104,"up",9405649,9238013,0.018224742319402,"up",483377,478203,0.0114725907876619,"up"
2020-06-25,"mcdonald","hospitality",183.51,184.08,180.325,182.76,3141265,184.29,-0.0124852641731862,"down",36.59,36.93,31.59,32.22,33.84,1.07873764743385,"down",9583608,9405649,0.0181463264881745,"up",489928,483377,0.0108196728167745,"up"
2020-06-26,"mcdonald","hospitality",182.37,182.81,178.88,179.74,5106402,182.76,-0.00830213250854632,"down",33.01,36.25,31.04,34.73,32.22,0.952127659574468,"up",9774609,9583608,0.0189204381324457,"up",494773,489928,0.0135525686989658,"up"
2020-06-29,"mcdonald","hospitality",180.57,182.83,179.17,182.8,2621549,179.74,-0.0165244035894068,"up",35.05,36.31,31.78,31.78,34.73,1.07790192427064,"down",10273510,9774609,0.0199299679202238,"up",506076,494773,0.00988920821018599,"up"
2020-06-30,"mcdonald","hospitality",182.92,185.2,181.89,184.47,3163070,182.8,0.0170245910759987,"up",32.54,32.94,29.56,30.43,31.78,0.915059026778002,"down",10447879,10273510,0.0510405070934295,"up",511268,506076,0.0228448197456207,"up"
2020-07-01,"mcdonald","hospitality",184.95,186.44,183.72,184.66,2193008,184.47,0.0091356673960612,"up",30.96,31.76,28.2,28.62,30.43,0.957520453115167,"down",10664168,10447879,0.0169726802232148,"up",516253,511268,0.0102593286383863,"up"
2020-07-02,"mcdonald","hospitality",187,187,182.86,183.52,2689215,184.66,0.00102997777416381,"down",28.33,28.44,25.9,27.68,28.62,0.940519224449556,"down",10871926,10664168,0.0207017137162481,"up",521361,516253,0.00975026796122581,"up"
