"","timestamp","company","category","open","high","low","close","volume","vix.open","vix.high","vix.low","vix.close"
"492",2020-06-02,"facebook","technology",230.94,233,226.56,232.72,20919018,28.4,28.52,26.66,26.84
"493",2020-06-03,"facebook","technology",232.11,232.65,228.53,230.16,15380282,26.75,26.98,25.04,25.66
"494",2020-06-04,"facebook","technology",229.56,231.63,224.61,226.29,17041481,26.23,26.43,24.38,25.81
"495",2020-06-05,"facebook","technology",226.71,231.35,225.3105,230.77,16750438,24.79,25.09,23.54,24.52
"496",2020-06-08,"facebook","technology",229.03,231.55,227.41,231.4,15466499,25.56,25.98,24.65,25.81
"497",2020-06-09,"facebook","technology",231.52,239.77,230.41,238.67,27462872,25.93,27.7,25.71,27.57
"498",2020-06-10,"facebook","technology",240.96,241.21,235.28,236.73,20720709,26.73,29.01,26.06,27.57
"499",2020-06-11,"facebook","technology",229.94,232.89,223.55,224.43,26708163,30.45,42.58,29.49,40.79
"500",2020-06-12,"facebook","technology",229.9,231.66,224.5,228.58,22091387,37.68,44.16,34.97,36.09
"501",2020-06-15,"facebook","technology",225.09,233.77,224.8,232.5,15340264,44.09,44.44,34.28,34.4
"502",2020-06-16,"facebook","technology",237.14,238.46,233,235.65,15236691,34.28,37.45,31.73,33.67
"503",2020-06-17,"facebook","technology",235,237.59,231.7268,235.53,19578125,33.28,35.17,32.25,33.47
"504",2020-06-18,"facebook","technology",234.99,236.14,232.15,235.94,15782452,33.83,36.25,32.24,32.94
"505",2020-06-19,"facebook","technology",237.79,240.83,235.55,238.79,30081291,32.07,35.12,30.4,35.12
"506",2020-06-22,"facebook","technology",238.56,240.7,236.91,239.22,18917782,35.22,35.39,31.64,31.77
"507",2020-06-23,"facebook","technology",241.28,245.1853,239.86,242.24,24017915,31.71,31.71,29.26,31.37
"508",2020-06-24,"facebook","technology",241.2,243.22,232.68,234.02,20834904,31.05,37.12,30.95,33.84
"509",2020-06-25,"facebook","technology",234.62,237.3,232.74,235.68,18704339,36.59,36.93,31.59,32.22
"510",2020-06-26,"facebook","technology",232.64,233.09,215.4,216.08,76343939,33.01,36.25,31.04,34.73
"511",2020-06-29,"facebook","technology",209.75,220.75,207.11,220.64,58514281,35.05,36.31,31.78,31.78
"512",2020-06-30,"facebook","technology",220.59,227.5,218.47,227.07,33927068,32.54,32.94,29.56,30.43
"513",2020-07-01,"facebook","technology",228.5,239,227.56,237.55,43403869,30.96,31.76,28.2,28.62
"514",2020-07-02,"facebook","technology",239,240,232.61,233.42,30635970,28.33,28.44,25.9,27.68
"515",2020-07-06,"facebook","technology",233.76,240.4,232.27,240.28,26208500,27.76,28.33,24.92,27.94
"516",2020-07-07,"facebook","technology",239.41,247.65,238.82,240.86,27437200,28.77,29.63,27.25,29.43
"517",2020-01-02,"microsoft","technology",158.78,160.73,158.33,160.62,22634546,13.46,13.72,12.42,12.47
"518",2020-01-03,"microsoft","technology",158.32,159.945,158.06,158.62,21121681,15.01,16.2,13.13,14.02
"519",2020-01-06,"microsoft","technology",157.08,159.1,156.51,159.03,20826702,15.45,16.39,13.54,13.85
"520",2020-01-07,"microsoft","technology",159.32,159.67,157.32,157.58,21881740,13.84,14.46,13.39,13.79
"521",2020-01-08,"microsoft","technology",158.93,160.8,157.9491,160.09,27762026,15.16,15.24,12.83,13.45
"522",2020-01-09,"microsoft","technology",161.835,162.215,161.03,162.09,21399951,12.95,13.24,12.53,12.54
"523",2020-01-10,"microsoft","technology",162.8235,163.22,161.18,161.34,20733946,12.42,12.87,12.09,12.56
"524",2020-01-13,"microsoft","technology",161.76,163.31,161.26,163.28,18666414,12.84,13.09,12.32,12.32
"525",2020-01-14,"microsoft","technology",163.39,163.6,161.72,162.13,23500783,12.72,13.82,12.05,12.39
"526",2020-01-15,"microsoft","technology",162.62,163.94,162.57,163.18,21417871,12.79,12.83,11.95,12.42
"527",2020-01-16,"microsoft","technology",164.35,166.24,164.03,166.17,23865360,12.2,12.42,11.78,12.32
"528",2020-01-17,"microsoft","technology",167.42,167.4675,165.43,167.1,34371659,12.21,12.48,11.75,12.1
"529",2020-01-21,"microsoft","technology",166.68,168.19,166.43,166.5,29223486,13.23,13.33,12.32,12.85
"530",2020-01-22,"microsoft","technology",167.4,167.49,165.68,165.7,24138777,12.45,13.01,12.31,12.91
"531",2020-01-23,"microsoft","technology",166.19,166.8,165.27,166.72,19680766,13.26,14.15,12.94,12.98
"532",2020-01-24,"microsoft","technology",167.51,167.53,164.45,165.04,24918117,12.75,15.98,12.62,14.56
"533",2020-01-27,"microsoft","technology",161.15,163.375,160.2,162.28,32078067,17.42,19.02,16.82,18.23
"534",2020-01-28,"microsoft","technology",163.78,165.755,163.073,165.46,24899940,16.94,18.03,15.69,16.28
"535",2020-01-29,"microsoft","technology",167.84,168.75,165.69,168.04,35127771,15.68,16.65,14.94,16.39
"536",2020-01-30,"microsoft","technology",174.05,174.05,170.79,172.78,51597470,17.82,18.39,15.3,15.49
"537",2020-01-31,"microsoft","technology",172.21,172.4,169.58,170.23,36142690,16.25,19.99,16.18,18.84
"538",2020-02-03,"microsoft","technology",170.43,174.5,170.4,174.38,30149052,18.64,18.88,17.1,17.97
"539",2020-02-04,"microsoft","technology",177.14,180.64,176.31,180.12,36433339,16.45,16.46,15.63,16.05
"540",2020-02-05,"microsoft","technology",184.03,184.2,178.4101,179.9,39186324,16.29,16.32,15.02,15.15
"541",2020-02-06,"microsoft","technology",180.97,183.8199,180.059,183.63,27751381,15.13,15.66,14.7,14.96
"542",2020-02-07,"microsoft","technology",182.845,185.63,182.48,183.89,33529074,15.07,16.16,14.81,15.47
"543",2020-02-10,"microsoft","technology",183.58,188.84,183.25,188.7,35844267,15.88,16.43,15.01,15.04
"544",2020-02-11,"microsoft","technology",190.65,190.7,183.5,184.44,53159906,14.91,15.27,14.38,15.18
"545",2020-02-12,"microsoft","technology",185.58,185.85,181.85,184.71,47062921,14.86,14.88,13.73,13.74
"546",2020-02-13,"microsoft","technology",183.08,186.23,182.872,183.71,35295834,14.43,15.44,14,14.15
"547",2020-02-14,"microsoft","technology",183.25,185.41,182.65,185.35,23149516,14.12,14.54,13.38,13.68
"548",2020-02-18,"microsoft","technology",185.605,187.7,185.5,187.23,27853113,14.98,15.49,14.53,14.83
"549",2020-02-19,"microsoft","technology",188.06,188.18,186.47,187.28,29997471,14.66,14.74,14.21,14.38
"550",2020-02-20,"microsoft","technology",186.95,187.25,181.1,184.42,36862376,14.54,17.21,14.49,15.56
"551",2020-02-21,"microsoft","technology",183.17,183.5,177.25,178.59,48600385,17.33,18.21,16.19,17.08
"552",2020-02-24,"microsoft","technology",167.77,174.55,163.23,170.89,68311066,22.25,26.35,22,25.03
"553",2020-02-25,"microsoft","technology",174.2,174.84,167.6462,168.07,68073295,23.28,30.25,22.62,27.85
"554",2020-02-26,"microsoft","technology",169.71,173.26,168.21,170.17,56387148,26.63,29.57,24.76,27.56
"555",2020-02-27,"microsoft","technology",163.32,167.03,157.98,158.18,93174906,32.14,39.31,29.37,39.16
"556",2020-02-28,"microsoft","technology",152.41,163.71,152,162.01,97073557,42.02,49.48,39.37,40.11
"557",2020-03-02,"microsoft","technology",165.31,172.92,162.31,172.79,71030810,38.54,40.41,31.5,33.42
"558",2020-03-03,"microsoft","technology",173.8,175,162.26,164.51,71677019,33.65,41.06,24.93,36.82
"559",2020-03-04,"microsoft","technology",168.485,170.7,165.62,170.55,49814383,34.44,35.58,30.3,31.99
"560",2020-03-05,"microsoft","technology",166.045,170.87,165.69,166.27,47817251,33.61,42.84,33.54,39.62
"561",2020-03-06,"microsoft","technology",162.61,163.11,156,161.57,72821057,48.93,54.39,40.84,41.94
"562",2020-03-09,"microsoft","technology",151,157.75,150,150.62,70419274,41.94,62.12,41.94,54.46
"563",2020-03-10,"microsoft","technology",158.16,161.03,152.58,160.92,65354385,49.68,55.66,43.56,47.3
"564",2020-03-11,"microsoft","technology",157.1304,157.7,151.15,153.63,56504304,52.24,55.82,49.98,53.9
"565",2020-03-12,"microsoft","technology",145.3,153.47,138.58,139.06,93226366,61.46,76.83,59.91,75.47
"566",2020-03-13,"microsoft","technology",147.5,161.91,140.73,158.83,92727446,65.07,77.57,55.17,57.83
"567",2020-03-16,"microsoft","technology",140,149.35,135,135.42,87905868,57.83,83.56,57.83,82.69
"568",2020-03-17,"microsoft","technology",140,147.4998,135,146.57,81059817,82.69,84.83,70.37,75.91
"569",2020-03-18,"microsoft","technology",138,146,135.02,140.4,81593173,69.37,85.47,69.37,76.45
"570",2020-03-19,"microsoft","technology",142.77,150.15,139,142.71,85922661,80.62,84.26,68.57,72
"571",2020-03-20,"microsoft","technology",146,147.1,135.86,137.35,84866215,67.86,69.51,57.42,66.04
"572",2020-03-23,"microsoft","technology",137.01,140.57,132.52,135.98,78975176,74.08,76.74,60.46,61.59
"573",2020-03-24,"microsoft","technology",143.75,149.6,141.27,148.34,82516727,58.76,61.88,36.24,61.67
"574",2020-03-25,"microsoft","technology",148.91,154.33,144.44,146.92,75638224,61.44,68.86,58.03,63.95
"575",2020-03-26,"microsoft","technology",148.4,156.66,148.37,156.11,64694427,65.67,67.06,57.66,61
"576",2020-03-27,"microsoft","technology",151.75,154.89,149.2,149.7,57042291,64.95,69.1,61.8,65.54
